Field,BN,$a,SF2,Link
700,7451,"Corral, Francisco Muñoz del",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7451#tab7XX
110,7468,Shell Compañía Argentina de Petróleo,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7468#tab1XX
700,7474,"Gere, James Monroe",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7474#tab7XX
700,7596,"Corona Rodríguez de Contín, Hortensia",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7596#tab7XX
700,7613,"Velázquez, Manuel",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7613#tab7XX
650,7653,SALUD AMBIENTAL,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7653#tab6XX
700,7682,"Calderón Gomez, Eduado",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7682#tab7XX
650,7697,SALUD AMBIENTAL,,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7697#tab6XX
700,7731,"Keyser, Carl Anton",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7731#tab7XX
700,7762,"Karassik, Igor J.",1911,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7762#tab7XX
700,7766,"Ross, J.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7766#tab7XX
100,7784,"Mateo, José",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7784#tab1XX
700,7796,"García, Roberto M.",,http://catalogo.fi.uba.ar:8080/cgi-bin/koha/cataloguing/addbiblio.pl?biblionumber=7796#tab7XX
